id,created_at,text
967139655559737344,2018-02-23 20:50:37,rt our presentation from on smart contracts and how their ability to have a reliabledec
831646114914906113,2017-02-14 23:27:39,rt japans currency now of bitcoin liquidity ahead of rumours regular banks will trade it later this yearblockchain ht
616002208098852864,2015-06-30 21:55:45,rt were seeing about a increase in bitcoin buys across all europe in past few weeks not much from greece though they are
507647478959980544,2014-09-04 21:52:45,syllabus for a course on bitcoin from nyus law and bschool yeah this bitcoin thing is just a fad obviously
497483189829775360,2014-08-07 20:43:29,thanks for having me if anyone has any follow up questions on nxt bitcoin or blockchain they should feel free to reach out
497094383934533632,2014-08-06 18:58:31,thanks for getting me together with to speak on using the blockchain bitcoin nxt cryptocurrency
497088579806695425,2014-08-06 18:35:27,rt retailers that accept bitcoin enjoy decreased risk of fraud amp lower transaction fees when compared to credit cards htt
496447431060361216,2014-08-05 00:07:45,rt i published a bitcoin book the anatomy of a moneylike informational commodity online
494984723241136128,2014-07-31 23:15:29,rt quite a bitcoin landscape that is emerging btc
490489465497223168,2014-07-19 13:32:56,rt dell is now the worlds largest ecommerce business to accept bitcoin
489275354809659392,2014-07-16 05:08:29,rt i bought my first bitcoin last week easy peasy
64505599332847616,2011-05-01 01:45:07,the realtime numbers behind the us debt downgrade
