id,created_at,text
1110673196158717952,2019-03-26 22:41:39,rt givet
993820446553509888,2018-05-08 11:50:33,rt dear there is an easy way to short bitcoin you can short xbt the bitcoin usd futures contract a
901453834324672513,2017-08-26 14:38:36,will electricity eventually only be sold for bitcoin well know this is happening when miners start buying electric companies
900463551881654273,2017-08-23 21:03:35,love hearing bitcoin stories like this
898557412466184192,2017-08-18 14:49:16,the scale that bitcoin mining has reached is impressive
877845355886465024,2017-06-22 11:06:57,bitcoin
873400974941073408,2017-06-10 04:46:34,rt bitpay investor ashton kutcher dropped by our office this week to talk to our team amp share insights on taking bitcoin payments
865030104027717632,2017-05-18 02:23:42,heres an idea bitcoin holidays to let the transaction backlog clear
864885970730188807,2017-05-17 16:50:58,rt staff at all get paid in bitcoin with fees skyrocketing we may have to switch to or
864885675925098501,2017-05-17 16:49:48,best plan mb hard fork on bitcoin now test segwit on litecoin
864803133482049536,2017-05-17 11:21:48,great visual bitcoin fees will continue to rise indefinitely until enough people stop using it
864798401912856576,2017-05-17 11:03:00,a typical bitcoin transaction costs now gtk unconfirmed transactions time for a hard fork to larger blocks mb please
864633849447424000,2017-05-17 00:09:08,its good to test segwit on litecoin for a while before it is deployed in bitcoin
864543696552955905,2017-05-16 18:10:54,i could support the simplest hf to mb soft limit mb hard limit for bitcoin wquadratic hashing protection
864523737055580160,2017-05-16 16:51:35,the truth about scaling bitcoin very well written and spot on
862989385540800514,2017-05-12 11:14:37,good article on how bitcoin is crowd funding capital flow
860456206321823744,2017-05-05 11:28:40,this is a nice overview of the bitcoin extension block proposal
857014345947111424,2017-04-25 23:31:57,use bitcoin
856549746709843968,2017-04-24 16:45:48,the testnet for bitcoin extension blocks went live this weekend plans to test
854144085900308480,2017-04-18 01:26:33,awesome video on accepting bitcoin with checkout app
849228784184299521,2017-04-04 11:54:54,here is another good article on the bitcoin extension block proposal by
849226785350975488,2017-04-04 11:46:58,excited about this bitcoin proposal from the team and good article
847054373461147650,2017-03-29 11:54:34,in the future the vast majority of bitcoin transactions will be offchain
847052704685965313,2017-03-29 11:47:56,indeed i think just about nothing short of a failure in ecdsa will stop bitcoin
844968748981334018,2017-03-23 17:47:03,rt just launched a bitpay bitcoin payment option in their toronto office cafe
844566535431733250,2017-03-22 15:08:47,the copay bitcoin wallet gets a major performance boost today new version of app too
843939263838347265,2017-03-20 21:36:14,great article on team member liya in amsterdam bitcoin
842471827704299520,2017-03-16 20:25:10,here are some of my thoughts on a safer way to upgrade bitcoin
842180758869557248,2017-03-16 01:08:34,great article on transaction growth and bitcoin
839209088907161600,2017-03-07 20:20:13,thoughts on rapidly rising bitcoin miner fees and what they mean for and the bitcoin network
