id,created_at,text
1342927881018732544,2020-12-26 20:18:51,welcome to the millennial life avocado toast and bitcoin not real estate
1342316403949502465,2020-12-25 03:49:04,coolest bitcoin xmas tree
1342297404930985986,2020-12-25 02:33:34,lightning can bring bitcoin to the next billion people heres a high l
1340879488670965765,2020-12-21 04:39:17,awww thank you the bitcoin community is stronger today as a result of nox
1340764238487441408,2020-12-20 21:01:19,rt just wait till you cay pay for tesla charging with bitcoin over the lightning network oh wait you already can
1340752576090939393,2020-12-20 20:14:58,just wait till you cay pay for tesla charging with bitcoin over the lightning network oh wait you alre
1340749593475239937,2020-12-20 20:03:07,turns out its the community who controls bitcoin collectively not any one or small group of people
1337142430194413570,2020-12-10 21:09:32,first they ignore you then they laugh at you then they fight you then they join you bitcoin
1333645106956668928,2020-12-01 05:32:26,it was super fun to see lots of bitcoin folks in the sameroom almost
1331078264304115717,2020-11-24 03:32:43,ohhh this sounds fun punk rock and bitcoin
1329239050872565760,2020-11-19 01:44:20,ive been a bit hunkered down building things like a bitcoinnative yield generating prod
1328757359083216901,2020-11-17 17:50:16,lets not forget abby johnson ceo of who got into bitcoin mining in
1327733707118161920,2020-11-14 22:02:38,if youre in need of any guest speakers let me know
1324762835482791938,2020-11-06 17:17:27,yup and bitcoin talent
1324418723952893952,2020-11-05 18:30:04,coughbitcoin
1324418337036795911,2020-11-05 18:28:32,i am loving the bitcoiner marmot
1323680842695249922,2020-11-03 17:38:00,thank you and theres so much more to come for the future of bitcoin lifi
1323510168643129346,2020-11-03 06:19:48,thinking along the same lines as
1323381130545057794,2020-11-02 21:47:03,i knew lightning was addictive but
1323349610627321861,2020-11-02 19:41:48,the magic of bitcoin script
1323336582288547844,2020-11-02 18:50:02,lightning isnt actually defi though were lifi
1323331834210590722,2020-11-02 18:31:10,thank you congrats to the whole team for making
1323318328799186944,2020-11-02 17:37:30,yup lightning like bitcoin is all about incentives
