id,created_at,text
1338951039953694721,2020-12-15 20:56:19,fireside chat questions and answers bitcoin
1337900449307918336,2020-12-12 23:21:38,interview with shiftmoney bitcoin
1334270723284639744,2020-12-02 22:58:24,wow and this bitcoin prediction comes from a banker
1333791652981264390,2020-12-01 15:14:45,the ny times is seeing the light re bitcoin
1322455550198607872,2020-10-31 08:29:07,interview with about a complete bitcoin ecosystem for vc defi bitcoin vc
1315802693386997760,2020-10-12 23:53:03,techsylvania keynote on vc degov bitcoin from romania virtually this time i have fond memories of cluj the sa
1311751154234089472,2020-10-01 19:33:40,interview with ck we get into covid bitcoin unicorns defi degov freedom good discussion
1305562920579788800,2020-09-14 17:43:51,freaking awesome interview anything is possible is an amazing show drapervc bitcoin degov defi
1304499124549554178,2020-09-11 19:16:42,interesting interviews in this book about the future of the world including degov bitcoin crypto
1298393696732250112,2020-08-25 22:55:54,interesting article on public vc funding vc bitcoin
1298034144392298496,2020-08-24 23:07:10,great interview with for about how retailers will save by accepting bitcoin throug
1280221810651365376,2020-07-06 19:27:19,here i speak about what to invest in bitcoin crypto better bets than expensive stocks or holding cash
1279132953419759617,2020-07-03 19:20:35,amazing interview this time edited drapervc bitcoin
1274145344062779392,2020-06-20 01:01:37,amazing interview translated from russian bitcoin degov
1268978745911590914,2020-06-05 18:51:24,incentive to come to the conference in bitcoin bitcoin
1268972627915190272,2020-06-05 18:27:05,first ever company sponsored bitcoin k plan from investment bitcoin
1264238519867736064,2020-05-23 16:55:26,great fun talk bitcoin drapervc aishowbiz summit youtube channel at
1263983824221831168,2020-05-23 00:03:22,i think they cut out the questions they asked but here is the video covid bitcoin
1263958077327335424,2020-05-22 22:21:03,webinar on mass cryptocurrency adoption bitcoin
1263248151823040512,2020-05-20 23:20:04,amazing interview about bitcoin postcovid with henry elder at wave financial
1263224991861968896,2020-05-20 21:48:02,great introduction to defi bitcoin defi drapervc
1258769306600370179,2020-05-08 14:42:44,why is bitcoin going up see here
1256293528474275841,2020-05-01 18:44:52,good technical analysis by blockchain capital bitcoin covid
1255584034861674496,2020-04-29 19:45:36,interesting interview with et in india bitcoin
1255163516052332545,2020-04-28 15:54:36,live from new jerseyvirtually bitcoin covid whatnow
1253007876253052928,2020-04-22 17:08:52,perspectives on gold and bitcoin
1248269828021841921,2020-04-09 15:21:33,this is amazing you spend dollars and get bitcoin rewards company comes through big
1247983726505558017,2020-04-08 20:24:41,seeing opportunities for new technologies to spread postcovid ai and bitcoin can replace outdated
1247978640828018688,2020-04-08 20:04:28,great podcast with spoke about entrepreneurship bitcoin former student interviewing me
1247620645610901504,2020-04-07 20:21:56,aibc panel discussion covid bitcoin future
1247279943286841344,2020-04-06 21:48:06,interview on my perspective on how startups can look at this crisis covid bitcoin ai
1246180094969667585,2020-04-03 20:57:42,this was interesting covid bitcoin
1243681851719290880,2020-03-27 23:30:34,companies doing great things to help covid interview about bitcoin and the effects of the t bailo
1241402297470476291,2020-03-21 16:32:26,a renaissance for india now crypto is legal bitcoin india
1236728573442035712,2020-03-08 19:00:43,over time i would eliminate tsa and customs in favor of ai solutions competitivegovernance bitcoin drapervc
1236003843227467785,2020-03-06 19:00:54,eliminate the and acts that keep the poor poor and the rich rich competitivegovernance bitcoin drapervc
1236003776634421253,2020-03-06 19:00:38,over time i would eliminate tsa and customs in favor of ai solutions bitcoin governance politics oneday
1235563462107049985,2020-03-05 13:50:59,more on indias awesome decision to be a part of the future bitcoin
1235279044221992960,2020-03-04 19:00:49,eliminate the and acts that keep the poor poor and the rich rich bitcoin governance politics oneday
1234554277051453443,2020-03-02 19:00:51,danny nelson of coindesk asked me what i would do if i was president for a day bitcoin
1233073022107389954,2020-02-27 16:54:52,dgh giving away in bitcoin to everyone at the crypto conference
1231336092978143232,2020-02-22 21:52:56,this is fun a company merchants can take bitcoin instead of dollars bitcoin
1230598584845783040,2020-02-20 21:02:20,congratulations to opennode for making this list drapervc draper associates bitcoin
1218971198983409667,2020-01-19 18:59:15,this interviewer is masterful bitcoin drapervc tesla vchunting
1217609523776708609,2020-01-16 00:48:27,not exactly as i would have written it but controversy sells magazines drapervc bitcoin competitivegovernance
1216285499750526977,2020-01-12 09:07:15,from brian armstrong ceo true visionary bitcoin decentralized blockchain
1209260294234628096,2019-12-23 23:51:35,parts of an interview i had with blocktv bitcoin trump xii think i was too boring to post the whole thing
1209253948357578752,2019-12-23 23:26:22,this is fun bitcoin blockchain
1203017653562068993,2019-12-06 18:25:34,bitcoininspace
1202281068222713858,2019-12-04 17:38:38,great interview with cryptofinder bitcoin drapervc
1192861068751753221,2019-11-08 17:46:55,good interview bitcoin blockchain drapervc
1189379390133690368,2019-10-30 03:11:58,one of my favorite interviews decentralize bitcoin drapervc viral
1188780872696303617,2019-10-28 11:33:41,my current stump speech drapervc bitcoin decentralized
1186035407277809664,2019-10-20 21:44:11,great podcast bitcoin
1185286522976649216,2019-10-18 20:08:23,podcast about bitcoin learnings bitcoin drapervc
1185232794190041088,2019-10-18 16:34:53,funny interview mustaches eyebrows bitcoin
1183117116804722693,2019-10-12 20:27:56,i wrote this article about tribalism for medium governance competitivegovernance bitcoin blockchain
1180246778911870978,2019-10-04 22:22:14,unique part one of a deep interview drapervc bitcoin
1177748320518889473,2019-09-28 00:54:15,well written thought provoking article that will either scare you or excite you bitcoin
1174107443158224896,2019-09-17 23:46:42,bitcoin interview at draper university bitcoin
1172806141438496770,2019-09-14 09:35:48,good interview with israeli bitcoin media bitcoin
1170116923746639874,2019-09-06 23:29:48,my speech at showbiz summit drapervc bitcoin
1158559010381021184,2019-08-06 02:02:47,nasdaq down dow down bitcoin up bitcoin may be a remarkable hedge bitcoin
1155126041662382080,2019-07-27 14:41:24,institutions should be comfortable to hold bitcoin soon i evaluated coinbase ledger anchorage bitgo casa and
1155094877769785348,2019-07-27 12:37:34,how wyoming led the way in bitcoinblockchain regulation and a few thoughts on the strength and security of the bi
1154520266829107200,2019-07-25 22:34:16,great interview drapervc bitcoin
1154397171334176770,2019-07-25 14:25:07,i had hoped for better things from indias new governmentindia bitcoin
1152694418752856065,2019-07-20 21:39:00,i really liked this short interview drapervc bitcoin
1144561176300445696,2019-06-28 11:00:24,would you switch airlines to get rewarded in bitcoin rather than airline miles
1142239630298890240,2019-06-22 01:15:24,with bitcoin crossing again i thought this video might be fun to share bitcoin
1142210803120185344,2019-06-21 23:20:51,interview drapervc bitcoin
1141751093472440320,2019-06-20 16:54:08,interviewed by a draper university hero for her new podcast drapervc bitcoin
1139663577680400385,2019-06-14 22:39:05,interview collision bitcoin drapervc
