id,created_at,text
1207319494743470082,2019-12-18 15:19:33,as the decade wraps up its good to remember that despite its ups and downs bitcoin was one of the best investme
1179692938961543170,2019-10-03 09:41:28,the same cycle that elevated the internet over intranets is happening in bitcoin good tech is recognized on its m
1171217882484740096,2019-09-10 00:24:38,new research from our blockchain analytics team they tracked international bitcoin flows between
1162602217779716096,2019-08-17 05:49:03,this is a major turning point in the history of bitcoin to the incredible team behind your persistence an
1161180551132471296,2019-08-13 07:39:51,more than blockchain or bitcoin bitfury is a company focused on emerging technologies i am happy to announce th
1160175774638510081,2019-08-10 13:07:14,rt here are the top trends in crypto and bitcoin ethereum compliance from the ceo of our public blockchain analytics
1150414612346523650,2019-07-14 14:39:51,rt the chairman of the just called bitcoin a store of value like digital gold in front of congressthis nuanc
1148698834417025025,2019-07-09 21:01:58,not many digital asset companies can get a bank account because of the misplaced concern that bitcoin and other
1147241996458717184,2019-07-05 20:33:01,rt hut operates over mega watts of bitcoin mining computing power in alberta amp creates value through low cost production
1137265035334553600,2019-06-08 07:48:08,the hazards of unsound money led directly to the creation of bitcoin great research from galaxy digita
1137257822784303104,2019-06-08 07:19:28,thank you for writing the definitive book on why we should all be using bitcoin im happy it will now
1134875622663249920,2019-06-01 17:33:28,steve jobs words are still relevant today for people who dont appreciate the value and benefits of bitcoin we
1127002483459489792,2019-05-11 00:08:25,the price of bitcoin is influenced by many factors in crypto amp blockchain including increasing institutional in
1124850595351887872,2019-05-05 01:37:35,anyone overly focused on the bitcoin price is indeed missing something bigger what bitcoins yearoveryear growt
1121065496047124480,2019-04-24 14:56:57,big news and launched today a fully regulated bitcoin mining fund helping bring e
1084669431568060416,2019-01-14 04:31:59,smart words from on the power of community which also help explain why bitcoin will succeed bitcoi
1060650911264108544,2018-11-08 21:50:57,great article by on the true value of bitcoin and the problem bitcoin solves
1059884315998339072,2018-11-06 19:04:47,yes pow is efficient great post by explaining myths about bitcoin and its energy consumption pow is
1042476996108988417,2018-09-19 18:14:18,rt don wilson at consensussingapore theres the argument about bitcoins storage value but the more interesting to me is the
1042476730949218305,2018-09-19 18:13:15,rt breaking news we have announced our new generation of bitcoin mining hardware led by the brandnew bitfury clarke asic
1025066078869889024,2018-08-02 17:09:32,rt i dont see btc dominance pulling back any time soon lots of cool institutional projects coming and most will start with
1021910937845022720,2018-07-25 00:12:08,rt welcome back bitcoin
983487701113556993,2018-04-09 23:31:54,jack dorsey believes bitcoin will be the worlds sole currency within years via
953815328252940288,2018-01-18 02:24:29,rt at the same date every year the bitcoin crashes low was jan
952101156691484672,2018-01-13 08:52:59,there will be no ban on bitcoin trading in the near future for south korea
919560088792195072,2017-10-15 13:46:24,rt jamie dimon said he wouldnt talk about bitcoin anymore that lasted one day
888109552230465536,2017-07-20 18:53:12,bitfury successfully sent bitcoin using the lightning network on the mainnet a big step forward for bitcoin
884061521139032064,2017-07-09 14:47:46,top wall street strategist sees bitcoin worth as much as
867741229471215617,2017-05-25 13:56:45,rt those who purchased bitcoins at the peak in november can sell them today with profit
866876636767105024,2017-05-23 04:41:10,cnbc special report if you bought of bitcoin years ago youd be sitting on million now
851201868046794752,2017-04-09 22:35:14,the first investor in snapchat thinks bitcoin could realistically be worth by via
847866503286358016,2017-03-31 17:41:41,japan is set to begin recognizing bitcoin as a legal method of payment starting tomorrow via
837630957196828672,2017-03-03 11:49:17,one bitcoin is now worth more than one ounce of gold via
815978215692967936,2017-01-02 17:49:01,rt meanwhile bitcoins market cap isth that of nd that of rd that of rd th
812699577186975749,2016-12-24 16:40:53,rt want to know whats behind the bitcoin surge breaks it down
755882315377631232,2016-07-20 21:49:22,rt only complaints filed against bitcoin companies w cfpb in yrs of complaints filed against just paypal
712767301439852544,2016-03-23 22:25:41,welcome to the team cant wait to work together to grow the social impact of the bitcoin blockchain
710430820004192256,2016-03-17 11:41:21,new white paper digital assets next use case for the bitcoin blockchain read more
708211081819328512,2016-03-11 08:40:54,fundamental facts everyone should know about the bitcoin blockchain read them in my latest blog post on medium
703460789844353024,2016-02-27 06:04:56,fed government adviser blockchain startups are misguided to separate blockchain from bitcoin via
701144560714428416,2016-02-20 20:41:04,bitcoin roundtable consensus by
645518986021486592,2015-09-20 08:44:54,nine massive banks just teamed up to take the technology behind bitcoin mainstream via
543230940386848768,2014-12-12 02:28:43,microsoft has a long term vision for bitcoin
543230212452794371,2014-12-12 02:25:50,rt microsoft has a longterm vision for bitcoin bitpay and the blockchain
543229031101894656,2014-12-12 02:21:08,microsoft accepts bitcoin big news for everyone in bitcoin
542240676566405120,2014-12-09 08:53:46,regulation makes companies to be more transparent and it is good for the entire bitcoin industry
542240522115366912,2014-12-09 08:53:09,bitfury is a technology company first and foremost with focus on bitcoin
542199051853115392,2014-12-09 06:08:22,i dont like word bitcoin mining what we do is bitcoin blockchain transaction processing
