id,created_at,text
1332402832075411456,2020-11-27 19:16:04,is happy to support it but as i said it depends on the bitcoin core developers
1329242786919448577,2020-11-19 01:59:11,rt dear viabtc users we are sorry that we disappeared for a while our old twitter account has been suspended an
1307176752502857729,2020-09-19 04:36:38,rt industry news s ones token ito on debuts september heres why its one to watch
1109309849903353856,2019-03-23 04:24:12,rt coinex minute ama bsv is a scam decentralized exchange adds cardano bitcoin
992747206573678592,2018-05-05 12:45:53,rt we have forked we can improve bitcoin cash knowledge on
986186408573353984,2018-04-17 10:15:36,i suggest use viabtc as the block explore we can decode the opreturn data
942612906973151232,2017-12-18 04:30:04,rt nice interview with about bitcoincash i cant wait to use
941736358824919040,2017-12-15 18:26:59,rt the bitcoincash website is looking for your help we need to translate it in as many language as possible if it doesnt wo
941248829193576448,2017-12-14 10:09:43,the world most popular bitcoin wallet support bitcoin cash
938607587796271104,2017-12-07 03:14:22,i always use steam as an example how bitcoin being used to newbie but it is so awkward that steam stop accept bitc
926711957310156800,2017-11-04 07:25:22,the bitcoin cash means you need hold bch to join this group send me bitcoin address signature to apply
909309756220653570,2017-09-17 06:55:14,technically china cant ban bitcoin traffic we have our own sync network but if china gov say mining is illegal we are fucked
908984315886804993,2017-09-16 09:22:03,china government ban bitcoin because they feel the threats from bitcoin
