id,created_at,text
1344673357636067336,2020-12-31 15:54:45,risin
1344671184168706048,2020-12-31 15:46:07,
1344632592142716929,2020-12-31 13:12:46,w
1343554709563424768,2020-12-28 13:49:39,
1343554121706586112,2020-12-28 13:47:19,
1343552732603375618,2020-12-28 13:41:48,
1343551666474209281,2020-12-28 13:37:33,rt
1343551588778921985,2020-12-28 13:37:15,ww
1340082412592668673,2020-12-18 23:51:59,w
1337928045131223040,2020-12-13 01:11:18,
1337789612605857792,2020-12-12 16:01:13,
1337787011051048961,2020-12-12 15:50:52,w
1337784498059001857,2020-12-12 15:40:53,jsda
1337781754585759745,2020-12-12 15:29:59,cisgsgscisgs
1337779606787481601,2020-12-12 15:21:27,sq
1337777875693445123,2020-12-12 15:14:34,sqbet
1337766209417199616,2020-12-12 14:28:13,w
1337764329186193409,2020-12-12 14:20:45,gs
1336573795398606849,2020-12-09 07:29:59,rt
1336302850788392960,2020-12-08 13:33:21,rt gox
1335154562538168320,2020-12-05 09:30:28,long long putlong callupsidecall
1332872175452180480,2020-11-29 02:21:04,
1332870823321845762,2020-11-29 02:15:42,
1332869077300244484,2020-11-29 02:08:46,
1332524470116909056,2020-11-28 03:19:25,
1332524150070464512,2020-11-28 03:18:09,
1332523768577572865,2020-11-28 03:16:38,
1332489483539759104,2020-11-28 01:00:23,
1332310691005403137,2020-11-27 13:09:56,rt kgoxgox
1331772070540111873,2020-11-26 01:29:39,
1330122424189382658,2020-11-21 12:14:33,w
1327172450216407040,2020-11-13 08:52:24,
1325194342370222081,2020-11-07 21:52:06,rt breaking biden expected to hire bitcoinfriendly gary gensler to help oversee wall street
1321591016885948416,2020-10-28 23:13:47,
1320262634118156288,2020-10-25 07:15:15,
1319540781309333504,2020-10-23 07:26:52,
1319537892117544960,2020-10-23 07:15:23,jalana
1318461805740523520,2020-10-20 07:59:24,
1318120946205483008,2020-10-19 09:24:57,
1313379074073485314,2020-10-06 07:22:27,rt w
1313335410198671361,2020-10-06 04:28:57,
1313321612385476608,2020-10-06 03:34:07,rt w
1313159808468480000,2020-10-05 16:51:10,rt
1313154360210124804,2020-10-05 16:29:31,
1313152640423927810,2020-10-05 16:22:41,
1312993722720612357,2020-10-05 05:51:12,rt id
1312729312370388992,2020-10-04 12:20:32,rt
1312728109754408960,2020-10-04 12:15:45,
1312624638464200704,2020-10-04 05:24:35,rt
1312621023112519681,2020-10-04 05:10:13,rt
1311139682797805568,2020-09-30 03:03:54,rt
1304759688987254784,2020-09-12 12:32:05,
1304756468550303745,2020-09-12 12:19:17,
1304680602671611905,2020-09-12 07:17:50,
1302853712176492545,2020-09-07 06:18:25,rt zoom
1297069635792023557,2020-08-22 07:14:34,
1296220631977975808,2020-08-19 23:00:55,alohaget in bitcoin nowbitcoin hawaii
1293670728261234688,2020-08-12 22:08:31,w
1293546236201467908,2020-08-12 13:53:50,
1292247145404276736,2020-08-08 23:51:42,privatedishonest node
1292246122635829250,2020-08-08 23:47:39,
1292245066631663616,2020-08-08 23:43:27,catendermintpos
1292243246144294914,2020-08-08 23:36:13,private
1291959260864102401,2020-08-08 04:47:45,
1291957922423947266,2020-08-08 04:42:26,
1291956636936859649,2020-08-08 04:37:20,xrp
1291955586372788225,2020-08-08 04:33:09,
1291955370429050885,2020-08-08 04:32:18,ripplexrpxcurrentdpos
1286480966173638658,2020-07-24 01:58:58,bfbitcoind
1286129427244412929,2020-07-23 02:42:05,
1285926722571886592,2020-07-22 13:16:36,w
1284841902483705856,2020-07-19 13:25:55,w
1284841183575830528,2020-07-19 13:23:04,
1284775382554537984,2020-07-19 09:01:35,rt
1283001776237494277,2020-07-14 11:33:55,
