id,created_at,text
1344513330078232578,2020-12-31 05:18:52,rt always remember this story of krugman mocking his barber for asking about bitcoin back in inspired by it i got my hairdr
1343620210092371970,2020-12-28 18:09:55,rt as bitcoin price is increasing were reminded that bitcoin isnt just a technology its a movement to bridge the digital
1343320698387836929,2020-12-27 22:19:46,rt ill sell my bitcoin if i can trade it for something that increases my freedom more than bitcoin
1342880070503809026,2020-12-26 17:08:52,rt on the th on the th on the th maybe probablynew years day is gonna suckbitcoin
1339294420018008067,2020-12-16 19:40:47,rt the periodic reminder bitcoin is the only asset i can think of whose price has absolutely no influence on its supply
1339268078241243136,2020-12-16 17:56:06,rt thing i admire most about the bitcoin community is resilience sheer amount of shade amp schadenfreude directed at bitcoin an
1338633468444598272,2020-12-14 23:54:24,rt we had a visitor at am this morning
1337433538061365249,2020-12-11 16:26:18,rt there are a bunch of fun things you can do with zeczeudonyms zcash pseudonymslocalbitcoinz local bitcoins but anonzigna
1336904465555759104,2020-12-10 05:23:57,rt how did i miss this amazing thread about saving the internet archive please read
1335604316183306247,2020-12-06 15:17:37,rt in years the demand for zcash will be higher than the demand for bitcoin today for two reasons
1335593415724044288,2020-12-06 14:34:19,rt i still get ask the question of how do you value bitcoin even by highly sophisticated investors the answer is super straight
1333804515028451334,2020-12-01 16:05:51,rt constant positive news in crypto ethereum beacon chain launch stanley druckenmiller positive comments on bitcoin bla
1333125807510671360,2020-11-29 19:08:55,
1332916445781450753,2020-11-29 05:16:59,rt looking at ways to add more anonymity to bitcoin
1331999799126732800,2020-11-26 16:34:34,
1331998442864914433,2020-11-26 16:29:10,
1331997932040630274,2020-11-26 16:27:08,
1331987262997815296,2020-11-26 15:44:45,
1331986795114897409,2020-11-26 15:42:53,
1331985409711063042,2020-11-26 15:37:23,rt alex youre we
1331404546753572867,2020-11-25 01:09:14,rt really interesting crypto wallet unstoppable zcash shielded transactions already available also in ios bitcoin transaction
1330912740769193987,2020-11-23 16:34:59,rt evolution cannot be stopped due to its properties bitcoin will suck out most of gold capitalization and later
1329796312087359493,2020-11-20 14:38:41,rt nope in a fixed supply currency like zcash or bitcoin coin holders p
1329794792507715586,2020-11-20 14:32:39,rt running bitcoin
1328724959309430784,2020-11-17 15:41:31,rt less than hrs until zcashs first subsidy halving those who are interested in bitcoin style monetary policy should find th
1328372801057730561,2020-11-16 16:22:10,
1324857007824752641,2020-11-06 23:31:39,rt debating btc v eth is like debating amzn v tslanobody cares about amzntsla ratiojust get rich and be good to ppl around you
1324778590693634049,2020-11-06 18:20:03,rt the feelings of bitcoiners towards politics can be summed up as for better or very possibly for worse with the excellent p
1323874120606441472,2020-11-04 06:26:01,rt billion in bitcoin originating from the silk road dark market and perhaps belonging to its founder ross ulbricht are on
1323464583911071745,2020-11-03 03:18:40,yes it does
1323398163844067328,2020-11-02 22:54:44,yes we do
1321133599337361409,2020-10-27 16:56:10,rt a bitcoiner i know who has gt k btc has said very seriously he intends to burn it all when he passes for this reason its
1319318166951104514,2020-10-22 16:42:17,rt hahah make this an nft please
1313546142555213834,2020-10-06 18:26:19,rt on s podcast about cypherpunks the best writer in bitcoin imo mentioned mays u
1313159846506749954,2020-10-05 16:51:19,rt so lets outmaxi the toxic bitcoin maximalists the ecosystem would gain so much if the tribes started workin
1308553363168976896,2020-09-22 23:46:48,rt its time to make bitcoin and ethereum kiss bitcoin ethereum
1307856524518199302,2020-09-21 01:37:48,rt first presidential candidate on the national ballot to express support for bitcoin
1306636357503049728,2020-09-17 16:49:18,rt i never made this per
1306636342764265473,2020-09-17 16:49:14,rt even there ive had
1306636310417829893,2020-09-17 16:49:07,rt shocking thought i d
1306636299814621184,2020-09-17 16:49:04,rt i am accused of takin
1306636254482542593,2020-09-17 16:48:53,rt the only reason i can
1306636053499899904,2020-09-17 16:48:05,rt selfrighteous armcha
1306636032402624512,2020-09-17 16:48:00,rt in the week since thi
1299425036395311104,2020-08-28 19:14:05,rt i am very very happy about the fundraiser in honor of halfinney to help find a cure for als here is the
